d:\hsom\src\select\shanx004.krn-0 6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,7,0,7,0,7,0,8,-1,7,0,7,0,7,0,6,0,7,0,5,0,8,-1,6,-1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
d:\hsom\src\select\shanx004.krn-1 7,0,7,0,7,0,6,0,7,0,5,0,8,-1,6,-1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,7,0,7,0,7,0,8,-1
d:\hsom\src\select\shanx004.krn-2 6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,7,0,7,0,7,0,8,-1,7,0,7,0,7,0,6,0,7,0,5,0,8,-1,9,-1,6,-1,6,-1,6,-1,6,-1,6,-1,6,-1,6,-1,6,-1
d:\hsom\src\select\shanx009.krn-0 7,1,7,1,6,1,6,1,7,1,7,1,7,1,7,1,7,1,7,1,5,1,5,1,8,0,8,0,7,0,7,0,7,0,7,0,7,1,7,1,7,1,7,1,9,1,5,1,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0
d:\hsom\src\select\shanx009.krn-1 7,0,7,0,7,1,7,1,7,1,7,1,9,1,5,1,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,7,1,7,1,6,1,6,1,7,1,7,1,7,1,7,1,8,0,8,0,6,0,6,0,6,0,6,0,7,0,7,0
d:\hsom\src\select\shanx009.krn-2 7,1,7,1,6,1,6,1,7,1,7,1,7,1,7,1,8,0,8,0,6,0,6,0,6,0,6,0,7,0,7,0,7,0,7,0,5,1,5,1,8,0,8,0,6,0,6,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
d:\hsom\src\select\shanx014.krn-0 9,1,9,1,7,1,7,1,7,1,7,1,9,1,7,1,5,1,8,0,6,0,9,0,7,0,7,0,7,0,7,0,7,1,7,1,7,1,7,1,8,0,8,0,6,1,5,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1
d:\hsom\src\select\shanx014.krn-1 7,1,7,1,7,1,7,1,8,0,8,0,6,1,5,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,9,1,9,1,7,1,7,1,7,1,7,1,9,1,7,1,5,1,8,0,6,0,9,0,7,0,7,0,7,0,7,0
d:\hsom\src\select\shanx014.krn-2 9,1,9,1,7,1,7,1,7,1,7,1,9,1,7,1,5,1,8,0,6,0,9,0,7,0,7,0,7,0,7,0,7,1,7,1,7,1,7,1,8,0,8,0,6,1,5,1,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0
d:\hsom\src\select\shanx015.krn-0 7,1,7,1,9,1,9,1,9,1,9,1,9,1,8,1,7,1,7,1,7,1,7,1,5,1,5,1,5,1,8,0,8,0,8,0,6,0,9,0,9,0,9,0,6,0,5,1,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
