d:\hsom\src\data\shanx004.krn 2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx006.krn 2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx007.krn 2,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx008.krn 2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx009.krn 2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx010.krn 2,1,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1
d:\hsom\src\data\shanx011.krn 2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx013.krn 2,1,1,2,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx014.krn 2,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx015.krn 2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx017.krn 2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx018.krn 2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx019.krn 2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx020.krn 2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1
d:\hsom\src\data\shanx021.krn 2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1
